source,target,measured_distance,expected_paths_min
1865901,448599,1,1
1865901,59022,2,1
1865901,74,3,1
1865901,0,4,1
1865901,2,5,1
1865901,47,6,1
4316950,2092448,1,1
4316950,564126,2,1
4316950,10030,3,1
4316950,87,4,1
4316950,0,5,1
4316950,3,6,1
3175537,337593,1,1
3175537,12015,2,1
3175537,126,3,1
3175537,1,4,1
3175537,0,5,1
3175537,25,6,1
4723091,3885402,1,1
4723091,2955618,2,1
4723091,176291,3,1
4723091,2282,4,1
4723091,32,5,1
4723091,0,6,1
2066823,903618,1,1
2066823,27484,2,1
2066823,10,3,1
2066823,0,4,1
2066823,3,5,1
2066823,57,6,1
958713,66607,1,1
958713,131,2,1
958713,1,3,1
958713,0,4,1
958713,15,5,1
958713,57,6,1
677586,175110,1,1
677586,3395,2,1
677586,253,3,1
677586,1,4,1
677586,0,5,1
677586,57,6,1
4159387,4148154,1,1
4159387,4159389,2,1
4159387,1695608,3,1
4159387,695486,4,1
4159387,15264,5,1
4159387,1077,6,1
