source,target,measured_distance,expected_paths_min
23926,10462,1,1
23926,140,2,1
23926,2,3,1
23926,18,4,1
23926,190,5,1
6903,113,1,1
6903,7,2,1
6903,2,3,1
6903,41,4,1
6903,1983,5,1
44722,1453,1,1
44722,189,2,1
44722,2,3,1
44722,3,4,1
44722,68,5,1
27567,21292,1,1
27567,16,2,1
27567,2,3,1
27567,13,4,1
27567,190,5,1
41230,12271,1,1
41230,111,2,1
41230,2,3,1
41230,13,4,1
41230,190,5,1
8790,37184,1,1
8790,4832,2,1
8790,31,3,1
8790,2,4,1
8790,14,5,1
19973,20171,1,1
19973,2,2,1
19973,3,3,1
19973,68,4,1
19973,1469,5,1
3338,604,1,1
3338,2,2,1
3338,3,3,1
3338,68,4,1
3338,1469,5,1
