case_id,source,target,distance,limit,expected,candidate_expected
d250-102m,1048049,313788,250,102m,OBSERVE,OBSERVE
d250-103m,1048049,313788,250,103m,OBSERVE,OBSERVE
d250-104m,1048049,313788,250,104m,OBSERVE,OBSERVE
d500-1286m,1048049,3277,500,1286m,OBSERVE,OBSERVE
d500-1288m,1048049,3277,500,1288m,OBSERVE,OBSERVE
d500-1290m,1048049,3277,500,1290m,OBSERVE,OBSERVE
d500-1292m,1048049,3277,500,1292m,OBSERVE,OBSERVE
d500-1294m,1048049,3277,500,1294m,OBSERVE,OBSERVE
d500-1296m,1048049,3277,500,1296m,OBSERVE,OBSERVE
d800-1730m,1048049,479166,800,1730m,OBSERVE,OBSERVE
d800-1732m,1048049,479166,800,1732m,OBSERVE,OBSERVE
d800-1734m,1048049,479166,800,1734m,OBSERVE,OBSERVE
