workload,S,buckets,rows,meanOcc,p50Occ,p95Occ,nullFrac,slots,active,g_front,iters,g/i,canonHit,canonMiss,hitBuf,hitFwd,hitBwd,hitHist,missBuf,missFwd,missBwd,missHist,nodeMissBuf,nodeMissFwd,nodeMissBwd,nodeMissHist,histProbes,writes,dups,mono%,adjWr,meanSpan,meanRuns,meanOcc8,maxK
bidir-chain-s31,31,16,1,0.0746,0.0645,0.1290,0.9290,465,33,14,15,0.9,3,21,0,0,3,0,21,0,0,0,0,33,26,156,156,37,0,94,19,5.7,1.12,1.12,4
bidir-standard,5,21,1,0.8000,0.8000,0.8000,0.2000,100,80,19,20,0.9,3,64,0,0,3,0,63,0,1,0,0,80,72,630,630,84,0,0,40,4.1,1.10,1.00,4
branch-big-k8,34,5,24,0.1529,0.2353,0.2353,0.8471,170,26,48,5,9.6,23,21,23,0,0,0,21,0,0,0,2,25,0,1,1,26,0,100,21,5.2,1.00,1.60,8
branch-dense89,18,4,32,0.4722,0.8889,0.8889,0.5278,72,34,64,4,16.0,31,30,31,0,0,0,30,0,0,0,1,33,0,1,1,34,0,100,30,8.5,1.00,2.00,16
branch-occ09,12,14,18,0.1190,0.0833,0.1667,0.8810,168,20,48,14,3.4,30,6,30,0,0,0,6,0,0,0,8,18,0,6,6,20,0,100,6,1.4,1.00,1.00,2
branch-occ21,8,14,27,0.2321,0.1250,0.3750,0.7679,112,26,72,14,5.1,48,12,48,0,0,0,12,0,0,0,8,24,0,6,6,26,0,100,12,1.9,1.00,1.00,3
branch-occ29,8,5,16,0.2750,0.1250,0.5000,0.7250,40,11,24,5,4.8,14,6,14,0,0,0,6,0,0,0,2,10,0,2,2,11,0,100,6,2.2,1.00,1.00,4
branch-occ43,14,4,12,0.2500,0.4286,0.4286,0.7500,56,14,24,4,6.0,11,10,11,0,0,0,10,0,0,0,1,13,0,1,1,14,0,100,10,3.5,1.00,1.00,6
branch-occ67,6,5,16,0.3667,0.1667,0.6667,0.6333,30,11,24,5,4.8,14,6,14,0,0,0,6,0,0,0,2,10,0,2,2,11,0,100,6,2.2,1.00,1.00,4
chain-s127-k1,127,63,2,0.0161,0.0157,0.0157,0.9839,8001,129,62,63,1.0,0,66,0,0,0,0,66,0,0,0,0,125,0,3843,3843,129,0,100,65,4.0,1.02,1.02,4
chain-s255-k1,255,127,2,0.0079,0.0078,0.0078,0.9921,32385,257,126,127,1.0,0,130,0,0,0,0,130,0,0,0,0,253,0,15875,15875,257,0,100,129,4.0,1.01,1.01,4
chain-s31-k1,31,30,2,0.0710,0.0645,0.1290,0.9290,930,66,28,30,0.9,0,36,0,0,0,0,36,0,0,0,0,58,0,390,390,66,0,100,34,4.0,1.07,1.07,4
grid-s19,19,95,25,0.1191,0.1053,0.1579,0.8809,1805,215,240,95,2.5,147,306,146,0,0,1,121,0,0,185,86,212,0,914,1100,215,0,100,119,2.4,1.01,1.01,4
locality-clustered,18,6,4,0.1111,0.0556,0.2222,0.8889,108,12,16,6,2.7,6,6,6,0,0,0,6,0,0,0,0,10,0,2,2,12,0,100,6,2.0,1.00,1.00,4
locality-dispersed,18,6,4,0.1111,0.0556,0.2222,0.8889,108,12,16,6,2.7,6,6,6,0,0,0,6,0,0,0,0,10,0,2,2,12,0,100,0,5.0,2.00,1.33,4
star-lookup-stress,33,65,64,0.0303,0.0303,0.0303,0.9697,2145,65,64,65,1.0,0,0,0,0,0,0,0,0,0,0,63,64,0,0,0,65,0,100,0,1.0,1.00,1.00,1
tiny-s2,2,2,1,1.0000,1.0000,1.0000,0.0000,4,4,0,2,0.0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,100,2,2.0,1.00,1.00,2
tiny-s4,4,4,1,0.5000,0.5000,0.5000,0.5000,16,8,2,4,0.5,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,8,0,100,4,2.0,1.00,1.00,2
tiny-s7,7,6,2,0.4286,0.4286,0.5714,0.5714,42,18,4,6,0.7,0,12,0,0,0,0,12,0,0,0,0,10,0,6,6,18,0,100,10,4.0,1.33,1.00,4
unidir-into-s31,31,15,1,0.0710,0.0645,0.1290,0.9290,465,33,14,15,0.9,0,18,0,0,0,0,18,0,0,0,0,29,0,195,195,33,0,100,17,4.0,1.07,1.07,4
