order,repetition,source,target,distance,elapsed_ns,result_lengths
0,0,457532,1668,500,27298124200,500;500
1,0,457532,442495,50,147382900,50;50
2,1,457532,366499,100,409521300,100;100
3,0,457532,444379,10,66624600,10;11
4,1,457532,848968,772,70446563500,772;772
5,1,457532,444379,10,11258600,10;11
6,1,457532,78764,250,1951728200,250;250
7,1,457532,442495,50,26315800,50;50
8,1,457532,1668,500,24088500600,500;500
9,1,457532,443187,25,47299500,25;26
10,0,457532,78764,250,1676338400,250;250
11,0,457532,848968,772,74315206000,772;772
12,0,457532,366499,100,84411800,100;100
13,0,457532,443187,25,10272500,25;26
